old                                      new
42f2b72672c3e80293dd1c50965768b9ba03c7e7 007126fc2d4c419fb925cc06fb34b796a73dc1dd
4368d859c067f4030c920ae24584ccdec503a734 1446de644e4adc67d8fbd69e3425e70b7bee8d5d
43d468863a8cf1990f3ca12e4138e15d6a5a32d8 0000000000000000000000000000000000000000
442482120ee71e611ada8a697c4040f72b889108 848eb9e5369c42e14371d355c4412fb9dabecbf1
44468f93075ac2d428ac7cd9d05dbdab509ba040 c12ed6c23c2903e18fb788e0ce202a15fdb03467
4484c203867d82bf5662b2d81902c3b3343fadc0 0000000000000000000000000000000000000000
457523fccd9bbe92c151877fedcd912d98144a80 f64d518812a671287441f290e9cd6d46e66e0457
45a1f93515a6498b912438f7135f30d2d8fe3060 13ca1220856c4f6e790a6eceeb90e7fe2ce3172b
4684bcc132c4dec64259a8980063b6e138903ec3 d2120dd2398c335d0ffe6526c6e7f3e405f04f66
46cb7fdc7c08b56f6c144a6db6769f54abaea812 09da05c1ed4fcfc3151ce925ff7a8940893557b8
46d26e52be39f31ad96946e5498256edcd8244d3 d00cf96dc5dd0c60fde4b412436a553ba71e274a
4715b23622b3d90e9c1dcc932d6e037dfa9d62e5 4c100dc9a715b69e57c3628190d8b06aaea068db
4748faaad5626afc7709df3aad37bfb36c4fea55 33474a0043c7f917bc390002286299163ce66699
4793f941a3a20048c88844ce09984986366cacb4 f73a7c01017aacbd962b895739c3036962e63b07
47bbe6522767c8b46a3886a0e257d2d0e11e1548 d74d002b18cc9feb724aa8b4797e60389b928230
486d7d05d6d0d2306667c2a0ae94fe975c3dfee8 960c37dac8ae2cbab796407b48ec97f8afcd754c
48775a0694c4280ee99a7b410ce9febf9d6a2db0 8d93bbe2563489c25f0c0cfd8a7071f4c2ca5ba3
48e79210799e25410ea1c986fdad4cec4b4df6b7 3c29d60b9bd5bd6f2413dd0dc90d7f4bdaf04656
48f51b7223e6b18f95af62a945ac2b13f3ee89b4 dca1e6ec00d648c21447c0479751495fcc22055b
490005f39976cbc168b247680e9c65619d399b30 660acf3278b99aba60907fd07d11522410506312
4956c6f49fd418d9b12306e5e2e1cb97b50922a0 cdce1985fa659a505fdde9bb0675d6abbe972682
49686d3dbd6e59f954e1d720d47271a4b90ed0f8 347a935a3ea16d50993aa59c0be9ba4a9ce547ee
49b68761552d3bf41f89512ec572683d416fc20a 886acb04cd1b5d0f70526766a5f61ea293d78849
49f9dd0d374e92cf2cf7b2cc6d654a0eb8d4dac7 0000000000000000000000000000000000000000
4a58648306e44bfa82c4f04f41162edb18cb30f6 c6eb0274b730eedfe73cc5ca2629c5380206efb3
4b216946006b520f1774934b5a80f7a9312b2afc fb92c3cc666d046cb3bb27c4ff63d699faf484d8
4b7a4d734fe48c28e6c2858f293ab8f408161b2f e4c003cc634f1adcfd53ead46ee4bfc44f2e061f
4b80e6e2146165acb5f6877afba03d0a6bb470d2 f2101347ef1bc6d0bdff252980fde0596ce648bb
4b8ec33e49fd6d9e44daa078603b6866502ca00c 7ca8dff5f643400c529f26930616e6f88c1d915a
4ba1b5a0b8df1717f209d4a5d4e298c55338e682 be9f5f20044ab47ec08984762eb5b9c1a21703c2
4be51ec7e6c84b4b3be9d13a83a3f86a5c17c3c2 08231e5458381c7b7d1646ffd716ee3ee0df4320
4c12acf25442e29e5c8e78a9fec1c8db7fff21ed 51116fb7f7154164236fd08f33d7bbe31165e50b
